Name,Date,Location,Type,Region,URL,Latitude,Longitude,Weather
4inecs,3/8/2024,Funhouse,Music,Capitol Hill / Central District,,43.6576535,-72.2840663,"Mostly sunny, with a high near 52. East wind around 3 mph."
Calidore Quartet & Abeo Quartet,3/8/2024,415 Westlake,Music,Queen Anne / Seattle Center,,38.5997628,-121.5253351,"Sunny. High near 65, with temperatures falling to around 63 in the afternoon. South southwest wind around 5 mph."
Debut,3/8/2024,Barboza,Music,Capitol Hill / Central District,,-13.248885,-41.0275842,Failed to retrieve weather data. Status code: 404
Holding / Movement,3/8/2024,Benaroya Hall,Music,Downtown,,47.60811665,-122.33697040702705,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
International Women’s Day Live Sessions Concert,3/8/2024,The Royal Room,Music,South Seattle,,32.2275723,-110.9685178,"Isolated showers and thunderstorms before 5pm. Sunny, with a high near 64. Northwest wind around 8 mph. Chance of precipitation is 20%."
Karla Bonoff,3/8/2024,The Triple Door,Music,Downtown,,47.6086439,-122.337685,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
Palestinian Lana Ikelan and Israeli Noga Bar Oz,3/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"A slight chance of rain. Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. South southwest wind around 5 mph. Chance of precipitation is 20%."
Seattle Kraken vs. Winnipeg Jets,3/8/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"A slight chance of rain. Mostly cloudy, with a high near 52. South wind around 5 mph. Chance of precipitation is 20%."
The Wood Brothers,3/8/2024,The Moore Theatre,Music,Downtown,,42.2896932,-83.7207314,"Rain showers. Cloudy, with a high near 48. Southeast wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch possible."
Frye in Focus: LINEAJES + Frye Salon,Now through 3/9/2024,Frye Art Museum,Museums,Capitol Hill / Central District,,47.60719095,-122.32405377084555,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
X:The Life and Times of Malcolm X,Now through 3/9/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,,47.62397705,-122.35038850536958,"A slight chance of rain. Mostly cloudy, with a high near 52. South wind around 5 mph. Chance of precipitation is 20%."
Bach St. John Passion,Now through 3/9/2024,Benaroya Hall,Music,Downtown,,47.60811665,-122.33697040702705,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
Ariel Pink,3/9/2024,El Corazon,Music,Downtown,,-5.2464353,-78.9699948,Failed to retrieve weather data. Status code: 404
Biblioteka,3/9/2024,Sunset Tavern,Music,Fremont / Ballard,,36.0254577,-114.9637699,"Sunny, with a high near 66. North northeast wind 10 to 14 mph, with gusts as high as 21 mph."
Carnaval with EntreMundos Big Band,3/9/2024,The Royal Room,Music,South Seattle,,32.2275723,-110.9685178,"Isolated showers and thunderstorms before 5pm. Sunny, with a high near 64. Northwest wind around 8 mph. Chance of precipitation is 20%."
Coco Montoya,3/9/2024,The Triple Door,Music,Downtown,,47.6086439,-122.337685,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
Emily Calandrelli: Unleash Your Inner Scientist,3/9/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Josiah and the Bonnevilles,3/9/2024,Barboza,Music,Capitol Hill / Central District,,-13.248885,-41.0275842,Failed to retrieve weather data. Status code: 404
